epoch,lr-Adam,step,train_loss_epoch,train_loss_step,train_mae_log,train_mape_log,val_loss,val_mae_dollars,val_mae_log,val_mape_dollars,val_mape_log
,0.0002,0,,,,,,,,,
0,,9,,12.575277328491211,,,,,,,
0,,19,,12.414145469665527,,,,,,,
0,,29,,12.347773551940918,,,,,,,
0,,39,,12.140237808227539,,,,,,,
0,,49,,11.949459075927734,,,,,,,
0,,59,,11.42663288116455,,,,,,,
0,,69,,10.580992698669434,,,,,,,
0,,79,,9.113343238830566,,,,,,,
0,,89,,6.7340216636657715,,,,,,,
0,,99,,4.263248920440674,,,,,,,
0,,109,,3.242558717727661,,,,,,,
0,,119,,1.6947892904281616,,,,,,,
0,,129,,1.6013357639312744,,,,,,,
0,,139,,1.7599955797195435,,,,,,,
0,,149,,1.6594018936157227,,,,,,,
0,,159,,1.189481496810913,,,,,,,
0,,169,,1.1059471368789673,,,,,,,
0,,179,,1.1662644147872925,,,,,,,
0,,189,,0.9432350397109985,,,,,,,
0,,199,,0.5959210395812988,,,,,,,
0,,209,,0.5822515487670898,,,,,,,
0,,219,,0.7198463678359985,,,,,,,
0,,229,,0.5930748581886292,,,,,,,
0,,236,,,,,0.4717475473880768,42398918901760.0,0.8433194756507874,2649932544.0,6.4332594871521
0,,236,5.363736629486084,,5.822819232940674,44.607666015625,,,,,
,0.0002,237,,,,,,,,,
1,,239,,0.623135507106781,,,,,,,
1,,249,,0.49422863125801086,,,,,,,
1,,259,,0.5860380530357361,,,,,,,
1,,269,,0.5636340379714966,,,,,,,
1,,279,,0.3853996694087982,,,,,,,
1,,289,,0.5088948011398315,,,,,,,
1,,299,,0.30552777647972107,,,,,,,
1,,309,,0.327303022146225,,,,,,,
1,,319,,0.38869208097457886,,,,,,,
1,,329,,0.4771685004234314,,,,,,,
1,,339,,0.4118409752845764,,,,,,,
1,,349,,0.40057045221328735,,,,,,,
1,,359,,0.4882550835609436,,,,,,,
1,,369,,0.41715890169143677,,,,,,,
1,,379,,0.2695613503456116,,,,,,,
1,,389,,0.37183284759521484,,,,,,,
1,,399,,0.32892993092536926,,,,,,,
1,,409,,0.3583737313747406,,,,,,,
1,,419,,0.26518815755844116,,,,,,,
1,,429,,0.35714173316955566,,,,,,,
